Date,Hour,PV Generation (MW),Wind Generation (MW)
8-Jan,5,0.000,0.850
8-Jan,6,0.000,0.876
8-Jan,7,0.003,0.895
8-Jan,8,0.024,0.911
8-Jan,9,0.058,0.915
8-Jan,10,0.082,0.916
8-Jan,11,0.096,0.925
8-Jan,12,0.087,0.917
8-Jan,13,0.057,0.897
8-Jan,14,0.020,0.889
8-Jan,15,0.002,0.902
8-Jan,16,0.000,0.899
8-Jan,17,0.000,0.889
8-Jan,18,0.000,0.885
8-Jan,19,0.000,0.879
8-Jan,20,0.000,0.865
8-Jan,21,0.000,0.821
8-Jan,22,0.000,0.810
8-Jan,23,0.000,0.801
9-Jan,0,0.000,0.780
9-Jan,1,0.000,0.767
9-Jan,2,0.000,0.759
9-Jan,3,0.000,0.751
9-Jan,4,0.000,0.733
9-Jan,5,0.000,0.729
9-Jan,6,0.000,0.715
9-Jan,7,0.002,0.699
9-Jan,8,0.025,0.682
9-Jan,9,0.062,0.680
9-Jan,10,0.089,0.685
9-Jan,11,0.089,0.690
9-Jan,12,0.075,0.693
9-Jan,13,0.049,0.682
9-Jan,14,0.019,0.669
9-Jan,15,0.002,0.655
9-Jan,16,0.000,0.627
9-Jan,17,0.000,0.616
9-Jan,18,0.000,0.591
9-Jan,19,0.000,0.552
9-Jan,20,0.000,0.497
9-Jan,21,0.000,0.440
9-Jan,22,0.000,0.402
9-Jan,23,0.000,0.365
10-Jan,0,0.000,0.334
10-Jan,1,0.000,0.303
10-Jan,2,0.000,0.276
10-Jan,3,0.000,0.262
10-Jan,4,0.000,0.244
10-Jan,5,0.000,0.222
10-Jan,6,0.000,0.195
10-Jan,7,0.003,0.169
10-Jan,8,0.023,0.139
10-Jan,9,0.051,0.116
10-Jan,10,0.070,0.101
10-Jan,11,0.077,0.093
10-Jan,12,0.066,0.084
10-Jan,13,0.042,0.079
10-Jan,14,0.015,0.074
10-Jan,15,0.001,0.072
10-Jan,16,0.000,0.076
10-Jan,17,0.000,0.085
10-Jan,18,0.000,0.088
10-Jan,19,0.000,0.087
10-Jan,20,0.000,0.096
10-Jan,21,0.000,0.111
10-Jan,22,0.000,0.128
10-Jan,23,0.000,0.145
11-Jan,0,0.000,0.153
11-Jan,1,0.000,0.164
11-Jan,2,0.000,0.194
11-Jan,3,0.000,0.222
11-Jan,4,0.000,0.251
11-Jan,5,0.000,0.280
11-Jan,6,0.000,0.308
11-Jan,7,0.003,0.322
11-Jan,8,0.011,0.334
11-Jan,9,0.024,0.361
11-Jan,10,0.032,0.392
11-Jan,11,0.036,0.436
11-Jan,12,0.032,0.475
11-Jan,13,0.021,0.505
11-Jan,14,0.009,0.531
11-Jan,15,0.001,0.552
11-Jan,16,0.000,0.568
11-Jan,17,0.000,0.571
11-Jan,18,0.000,0.538
11-Jan,19,0.000,0.524
